case_id,case_family,stressor,expected_behavior,observed_failure_mode,terminal_lesson
safety_conflict_0,safety_conflict,human nudge crosses a latent unsafe contact boundary,reject or clip the correction,variant 0: minimality cannot replace a safety constraint,minimality cannot replace a safety constraint
safety_conflict_1,safety_conflict,human nudge crosses a latent unsafe contact boundary,reject or clip the correction,variant 1: minimality cannot replace a safety constraint,minimality cannot replace a safety constraint
safety_conflict_2,safety_conflict,human nudge crosses a latent unsafe contact boundary,reject or clip the correction,variant 2: minimality cannot replace a safety constraint,minimality cannot replace a safety constraint
safety_conflict_3,safety_conflict,human nudge crosses a latent unsafe contact boundary,reject or clip the correction,variant 3: minimality cannot replace a safety constraint,minimality cannot replace a safety constraint
semantic_goal_ambiguity_0,semantic_goal_ambiguity,two small corrections solve different semantic goals,request intent clarification,variant 0: physical boundary evidence is under-specified,physical boundary evidence is under-specified
semantic_goal_ambiguity_1,semantic_goal_ambiguity,two small corrections solve different semantic goals,request intent clarification,variant 1: physical boundary evidence is under-specified,physical boundary evidence is under-specified
semantic_goal_ambiguity_2,semantic_goal_ambiguity,two small corrections solve different semantic goals,request intent clarification,variant 2: physical boundary evidence is under-specified,physical boundary evidence is under-specified
semantic_goal_ambiguity_3,semantic_goal_ambiguity,two small corrections solve different semantic goals,request intent clarification,variant 3: physical boundary evidence is under-specified,physical boundary evidence is under-specified
nonlocal_deformable_dynamics_0,nonlocal_deformable_dynamics,small cloth/cable nudge changes delayed global state,avoid overclaiming local boundary transfer,variant 0: needs high-fidelity dynamics,needs high-fidelity dynamics
nonlocal_deformable_dynamics_1,nonlocal_deformable_dynamics,small cloth/cable nudge changes delayed global state,avoid overclaiming local boundary transfer,variant 1: needs high-fidelity dynamics,needs high-fidelity dynamics
nonlocal_deformable_dynamics_2,nonlocal_deformable_dynamics,small cloth/cable nudge changes delayed global state,avoid overclaiming local boundary transfer,variant 2: needs high-fidelity dynamics,needs high-fidelity dynamics
nonlocal_deformable_dynamics_3,nonlocal_deformable_dynamics,small cloth/cable nudge changes delayed global state,avoid overclaiming local boundary transfer,variant 3: needs high-fidelity dynamics,needs high-fidelity dynamics
adversarial_helpfulness_0,adversarial_helpfulness,corrections become systematically misleading,downweight human projection,variant 0: helpfulness must be modeled explicitly,helpfulness must be modeled explicitly
adversarial_helpfulness_1,adversarial_helpfulness,corrections become systematically misleading,downweight human projection,variant 1: helpfulness must be modeled explicitly,helpfulness must be modeled explicitly
adversarial_helpfulness_2,adversarial_helpfulness,corrections become systematically misleading,downweight human projection,variant 2: helpfulness must be modeled explicitly,helpfulness must be modeled explicitly
adversarial_helpfulness_3,adversarial_helpfulness,corrections become systematically misleading,downweight human projection,variant 3: helpfulness must be modeled explicitly,helpfulness must be modeled explicitly
delayed_boundary_shift_0,delayed_boundary_shift,correction arrives after the boundary moved,use robust margins and calibration,variant 0: delay can invert the apparent minimal action,delay can invert the apparent minimal action
delayed_boundary_shift_1,delayed_boundary_shift,correction arrives after the boundary moved,use robust margins and calibration,variant 1: delay can invert the apparent minimal action,delay can invert the apparent minimal action
delayed_boundary_shift_2,delayed_boundary_shift,correction arrives after the boundary moved,use robust margins and calibration,variant 2: delay can invert the apparent minimal action,delay can invert the apparent minimal action
delayed_boundary_shift_3,delayed_boundary_shift,correction arrives after the boundary moved,use robust margins and calibration,variant 3: delay can invert the apparent minimal action,delay can invert the apparent minimal action
under_correction_0,under_correction,minimum action barely crosses a noisy boundary,maintain risk-aware margin,variant 0: pure minimum norm can under-correct,pure minimum norm can under-correct
under_correction_1,under_correction,minimum action barely crosses a noisy boundary,maintain risk-aware margin,variant 1: pure minimum norm can under-correct,pure minimum norm can under-correct
under_correction_2,under_correction,minimum action barely crosses a noisy boundary,maintain risk-aware margin,variant 2: pure minimum norm can under-correct,pure minimum norm can under-correct
under_correction_3,under_correction,minimum action barely crosses a noisy boundary,maintain risk-aware margin,variant 3: pure minimum norm can under-correct,pure minimum norm can under-correct
